from;to;amount
6081800088401;6819238901463;9339429
2790449051381;7361363374318;8750478
4845009091833;3152438068567;7293330
1776629938938;1798710053307;276088
5029485164618;6709841321705;9911815
5906173165485;9249025047377;8398679
6737376639202;9125432035227;7552719
3235265124797;6465614983618;5531116
8233376826082;1128177687336;117570
6419509104737;7666823778606;526682
8947435010941;3780727224340;9824740
4399393970859;6942257257115;6666921
4758101427711;3506858556998;8181535
4560075588232;9249939957330;5776000
5855634040559;9555030017761;7915439
9104457480388;7345114750487;4397513
4098172010419;1860489334511;3457081
8530474100203;7457129840340;8624787
5124769814202;3089591642224;4589815
7895104868199;6985855931414;8318972
4716101981345;8350930071859;1015473
9414958881803;7633447647982;2017829
2557270853493;4684018872850;6809162
6465177214467;4214077577503;5930461
2405107292173;2648399422391;8357650
6043777595923;6048882781574;2557758
7535855076970;3868739121271;5778260
1822546421472;3885670488441;3693056
4223708756534;8375070391686;2385186
9843679883245;6950516573060;2811329
3837232909190;2501200458717;413212
4304576447627;7246993436375;6519638
1075080484686;3667345214621;1145970
9520462488543;4508553141235;7866911
4766690230877;4334273323927;3531841
8840729799817;1352108125952;4850294
8298161689044;1188514999075;8840748
1172151567078;2566111577722;6264841
8957320677392;3396196510225;9714519
8750668216668;8725798364382;4278658
8642982948640;4637792997234;3809528
7645674658754;4951360235090;1707631
6583101502618;9515857279920;5806926
7068052000282;2412351556414;1298165
1435165905023;7296885438500;7022161
4954793210011;4812611720617;240537
4724738613187;6413442332123;6566795
1686130667822;5686292553982;2534770
9766929166612;1988817432220;4130075
3759087813515;9705764690127;2242884
8223524705183;6895065539346;562029
4894714235859;8851197808854;7182989
5224912713101;1947231590346;6848986
2687457731544;6176709614800;580212
5170002374487;8115851910588;5078631
8381102967253;8611872661411;5046728
1065819634047;9666207094646;2076623
4935487992654;6747090909002;547360
3078716908210;6878218309312;9864400
5221054703381;3870067536302;1710530
9667001122769;4772116827869;1995045
7059510300026;3047522880634;7208046
3819170999757;9897592277567;9787065
6157257705309;9067427631133;483132
7231625880716;4070611220789;5487138
8339798500348;4863677231629;8113633
8055184335857;1624302482985;3048205
6937364660403;9543496700561;7041768
2029335637590;2608130772905;2733614
4695678478204;8794249353950;8417445
8510833126867;3863068573729;7716435
2792370776679;6564573490478;6709992
5579159195458;4476099211058;7893426
7182896286565;8832440564035;9311153
3131461433089;2538432450595;6089303
8008826160510;4823158703773;2196317
1543401984277;6248430335031;9370051
8017620878954;1858037792836;9138061
1757352711832;5241486032870;4152321
1363482340576;7694624045005;3689037
6491444750545;7678584037823;2732901
2183821755988;8185477723399;1027464
2727584972715;4238967441841;9117736
7545625393576;2449730194310;3251254
9834194963691;8836010833866;5143606
4275392414745;4446485401894;3456484
6604247904371;2912319480050;1104020
8340556957895;5027467451084;9278878
8675799064305;9500689382930;7910336
2556849695342;5669623309263;3864230
2972633696765;4308950087138;7388138
7457121369096;1107732574638;5434436
9220991425522;3063700569939;6576184
1738022174085;7349878822458;3465978
7923518709393;7980689667938;3274264
1331095754105;7625079764551;7464197
2304686707594;7014702645144;1829679
6152078368612;7002507067336;5005188
3396331058969;1104627370128;8057840
2685687779299;9151426342174;2185656
